"collection","id","value","present"
"publications_title","re2022progressivo","Il progressivo ridimensionamento dell'uso di categorie diagnostiche nei disturbi del neurosviluppo: alcune riflessioni a partire dall'intervento di Antonietti, Borgatti e Giorgetti",TRUE
"publications_title","monaci2022disturbi","Disturbi specifici di apprendimento e multimedialità: l’efficacia di un training di potenziamento cognitivo tramite l’uso di web app",TRUE
"publications_title","lanfranchi2022individuals","Individuals with Down syndrome: Editorial",TRUE
"publications_title","giofre2022impasse","The impasse on gender differences in intelligence: a meta-analysis on WISC batteries",TRUE
"publications_title","giofre2022decoding","Decoding gender differences: intellectual profiles of children with specific learning disabilities",TRUE
"publications_title","cornoldi2022emotional","Emotional response to testing in gifted and highly-gifted children",TRUE
"publications_title","caviola2022math","Math performance and academic anxiety forms, from sociodemographic to cognitive aspects: a meta-analysis on 906,311 participants",TRUE
"publications_title","carretti2022structure","Structure of working memory in children from 3 to 8 years old",TRUE
"publications_title","carretti2022inferring","Inferring the performance of children with dyslexia from that of the general population: The case of associative phonological working memory",TRUE
"publications_title","carretti2022developmental","Developmental trajectories of spatial-sequential and spatial-simultaneous working memory in Down syndrome",TRUE
"publications_title","toffalini2021dyslexia","Dyslexia treatment studies: A systematic review and suggestions on testing treatment efficacy with small effects and small samples",TRUE
"publications_title","sella2021self","Self-reported sleep quality and dysfunctional sleep-related beliefs in young and older adults: changes in times of COVID-19 lockdown",TRUE
"publications_title","sella2021relationship","The relationship between sleep quality and quality of life in aging: a systematic review and meta-analysis",TRUE
"publications_title","miola2021environmental","Environmental learning in a virtual environment: Do gender, spatial self-efficacy, and visuospatial abilities matter?",TRUE
"publications_title","meneghetti2021successful","Successful navigation: the influence of task goals and working memory",TRUE
"publications_title","meneghetti2021path","Path learning in individuals with Down syndrome: The challenge of learning condition and cognitive abilities",TRUE
"publications_title","meneghetti2021learning","Learning from navigation, and tasks assessing its accuracy: the role of visuospatial abilities and wayfinding inclinations",TRUE
"publications_title","mammarella2021evidence","No evidence for a core deficit in developmental dyscalculia or mathematical learning disabilities",TRUE
"publications_title","locatelli2021age","Is the age of developmental milestones a predictor for future development in Down syndrome?",TRUE
"publications_title","grassi2021two","Two replications of Raymond, Shapiro, and Arnell (1992): The Attentional Blink",TRUE
"publications_title","fontana2021meta","Meta-analysis on inhibition from childhood to young adulthood in people with Down syndrome",TRUE
"publications_title","doerr2021developmental","Developmental trajectories in spatial visualization and mental rotation in individuals with Down syndrome",TRUE
"publications_title","cornoldi2021memory","Memory sensitivity and its relationship with the behavioural inhibitory and activation systems and the presence of internalising symptoms in a group of 9th to 13th graders",TRUE
"publications_title","cornoldi2021difficulties","Difficulties of young adults with dyslexia in reading and writing numbers",TRUE
"publications_title","carretti2021memoria","La memoria",TRUE
"publications_title","bayramova2021auditory","Auditory selective attention under working memory load",TRUE
"publications_title","toffalini2020false","False memory for pictorial scripted material: the role of distinctiveness and negative emotion",TRUE
"publications_title","toffalini2020eccezionalita","Eccezionalità: Categorie o code di distribuzioni?",TRUE
"publications_title","sella2020personality","Personality traits and sleep quality: the role of sleep-related beliefs",TRUE
"publications_title","mirandola2020power","The power of extraversion? Reduced false memories for positive events",TRUE
"publications_title","meneghetti2020spatial","Spatial description learning in preschoolers: the role of perspective and individual factors",TRUE
"publications_title","meneghetti2020path","Path learning in individuals with Down syndrome: the floor matrix task and the role of individual visuo-spatial measures",TRUE
"publications_title","marsura2020prova","La prova CO-TT di updating di memoria di lavoro. Dati normativi e confronto fra la prestazione di bambini con sviluppo tipico e con problemi di comprensione del testo",TRUE
"publications_title","giofre2020population","A population level analysis of the gender gap in mathematics: Results on over 13 million children using the INVALSI dataset",TRUE
"publications_title","donolato2020going","Going beyond mathematics anxiety in primary and middle school students: The role of ego-resiliency in mathematics",TRUE
"publications_title","delogu2020morra","The Morra game as a naturalistic test bed for investigating automatic and voluntary processes in random sequence generation",TRUE
"publications_title","carretti2020text","Text reading speed in a language with a shallow orthography benefits less from comprehension as reading ability matures",TRUE
"publications_title","altoe2020enhancing","Enhancing statistical inference in psychological research via prospective and retrospective design analysis",TRUE
"publications_title","toffalini2019wisc","WISC-IV e disabilità intellettiva: L’uso dell’età equivalente",TRUE
"publications_title","toffalini2019using","Using Z and age-equivalent scores to address WISC-IV floor effects for children with intellectual disability",TRUE
"publications_title","toffalini2019reading","Reading in a transparent second language with limited orality: the case of high-school students with dyslexia in Latin",TRUE
"publications_title","toffalini2019inferential","Inferential false memories for emotional events in older adults",TRUE
"publications_title","toffalini2019dislessia","La dislessia evolutiva",TRUE
"publications_title","toffalini2019cross","A cross-modal working memory binding span deficit in reading disability",TRUE
"publications_title","tizi2019atmosfera","Atmosfera percepita di due allestimenti museali in relazione a fattori ambientali e variabili cognitive, affettive e rigenerative: Analisi delle caratteristiche psicometriche dell’adattamento italiano del Perceived Atmosphere Instrument",TRUE
"publications_title","meneghetti2019environment","Environment learning in individuals with Down syndrome",TRUE
"publications_title","giofre2019lumpers","Lumpers vs splitters: intelligence in children with specific learning disorders",TRUE
"publications_title","giofre2019children","Are children with developmental dyslexia all the same? A cluster analysis with more than 300 cases",TRUE
"publications_title","cornoldi2019sintesi","Sintesi dei risultati principali ottenuti con la banca dati AIRIPA di più di 1.800 casi di DSA valutati con la WISC-IV",TRUE
"publications_title","cornoldi2019discrepancy","The discrepancy between verbal and visuoperceptual IQ in children with a specific learning disorder: an analysis of 1,624 cases",TRUE
"publications_title","toffalini2018environment","Environment learning from virtual exploration in individuals with Down syndrome: The role of perspective and sketch maps",TRUE
"publications_title","toffalini2018effects","The effects of the constancy of location and order in working memory visual-phonological binding of children with dyslexia",TRUE
"publications_title","talamini2018learning","Learning a second language: Can music aptitude or music training have a role?",TRUE
"publications_title","meneghetti2018mentala","Mental rotation ability and everyday-life spatial activities in individuals with Down syndrome",TRUE
"publications_title","meneghetti2018mental","Mental rotation training in older adults: The role of practice and strategy",TRUE
"publications_title","knott2018role","The role of attention in immediate emotional false memory enhancement",TRUE
"publications_title","di-mauro2018effect","Effect of long-term music training on emotion perception from drumming improvisation",TRUE
"publications_title","calgaro2018prova","La prova di lettura sublessicale PLS per la valutazione delle abilità di lettura di bambini di prima primaria",TRUE
"publications_title","toffalini2017strengths","Strengths and weaknesses in the intellectual profile of different subtypes of specific learning disorder: A study on 1049 diagnosed children",TRUE
"publications_title","toffalini2017pros","Pros and cons of using intelligence batteries for the study of clinical populations: A response to Beaujean (2017)",TRUE
"publications_title","toffalini2017einstein","Einstein and dyslexia: Is giftedness more frequent in children with a specific learning disorder than in typically developing children?",TRUE
"publications_title","muffato2017individual","Individual visuo-spatial factors and familiar environment knowledge: A structural equation modeling analysis",TRUE
"publications_title","mirandola2017working","Working memory affects false memory production for emotional events",TRUE
"publications_title","mirandola2017what","What happened first? Working memory and negative emotion tell you better: Evidence from a temporal binding task",TRUE
"publications_title","meneghetti2017visuo","Visuo-spatial knowledge acquisition in individuals with Down syndrome: The role of descriptions and sketch maps",TRUE
"publications_title","meneghetti2017contribution","The contribution of visuo-spatial factors in representing a familiar environment: The case of undergraduate students at a university campus",TRUE
"publications_title","melinder2017positive","Positive events protect children from causal false memories for scripted events",TRUE
"publications_title","losito2017abilita","Abilità di lettura e competenza grammaticale in latino in studenti di scuola superiore con diagnosi di dislessia",TRUE
"publications_title","grassi2017auditory","Auditory and cognitive performance in elderly musicians and nonmusicians",TRUE
"publications_title","giofre2017wisc","La WISC-IV sovrastima le competenze dei ragazzi italiani? Discrepanze tra la standardizzazione UK e quella Italiana della scala",TRUE
"publications_title","giofre2017intelligence","Intelligence measures as diagnostic tools for children with specific learning disabilities",TRUE
"publications_title","toffalini2016relevance","The relevance of memory sensitivity for psychological well-being in aging",TRUE
"publications_title","mirandola2016arousal","Arousal – but not valence – reduces false memories at retrieval",TRUE
"publications_title","toffalini2015metacognitive","Metacognitive aspects influence subjective well-being in parents of children with cancer",TRUE
"publications_title","toffalini2015high","High trait anxiety increases inferential false memories for negative (but not positive) emotional events",TRUE
"publications_title","toffalini2015enhanced","Enhanced memory for negative scripted material in low compared to high sensation seekers",TRUE
"publications_title","toffalini2014emotional","Emotional negative events do not protect against false memories in young adults with depressive-anxious personality traits",TRUE
"publications_title","mirandola2014inferential","Inferential false memories of events: Negative consequences protect from distortions when the events are free from further elaboration",TRUE
"publications_doi","cortesi2026time","10.1016/j.ridd.2025.105182",TRUE
"publications_doi","toffalini2025intellectual","10.1016/j.paid.2025.113274",TRUE
"publications_doi","perugini2025benefits","10.1177/2515245925133529",TRUE
"publications_doi","pelegrina2025stability","10.1037/edu0001008",TRUE
"publications_doi","esposito2025sex","10.1016/j.paid.2025.113410",TRUE
"publications_doi","costa2025enhancing","10.3758/s13428-025-02705-3",TRUE
"publications_doi","caviola2025exploring","10.1016/j.lindif.2025.102726",TRUE
"publications_doi","toffalini2024clusters","10.1002/ijop.13246",TRUE
"publications_doi","toffalini2024attenzione","10.1449/113498",TRUE
"publications_doi","szczygiel2024math","10.1016/j.learninstruc.2024.101906",TRUE
"publications_doi","sella2024effects","10.1027/1016-9040/a000533",TRUE
"publications_doi","giofre2024understanding","10.1016/j.ridd.2024.104854",TRUE
"publications_doi","giofre2024sexa","10.1007/s10339-024-01199-9",TRUE
"publications_doi","giofre2024sex","10.1016/j.paid.2024.112776",TRUE
"publications_doi","feraco2024sembeddings","10.3389/fpsyg.2024.1433339",TRUE
"publications_doi","donolato2024emotion","10.1002/dys.1778",TRUE
"publications_doi","caviola2024learning","10.1016/j.lindif.2024.102490",TRUE
"publications_doi","taddei2023developmental","10.1002/aur.2953",TRUE
"publications_doi","szucs2023maths","10.1098/rsos.231000",TRUE
"publications_doi","sella2023efficacy","10.1080/13607863.2022.2122931",TRUE
"publications_doi","pizzigallo2023intellectual","10.3390/jintelligence11120223",TRUE
"publications_doi","pietschnig2023reliability","10.1016/j.paid.2023.112345",TRUE
"publications_doi","giofre2023gender","10.3390/jintelligence11090178",TRUE
"publications_doi","donolato2023oral","10.1002/cl2.1368",TRUE
"publications_doi","cornoldi2023cognitive","10.1016/j.intell.2023.101736",TRUE
"publications_doi","bolognesi2023perceived","10.3390/su15032794",TRUE
"publications_doi","toffalini2022structure","10.1016/j.ridd.2022.104306",TRUE
"publications_doi","toffalini2022entia","10.1371/journal.pone.0269584",TRUE
"publications_doi","sella2022non","10.1080/13607863.2022.2056879",TRUE
"publications_doi","re2022progressivo","10.3280/rip2022oa15606",TRUE
"publications_doi","monaci2022disturbi","10.1449/102016",TRUE
"publications_doi","lanfranchi2022individuals","10.3390/brainsci12030398",TRUE
"publications_doi","giofre2022impasse","10.1007/s10648-022-09705-1",TRUE
"publications_doi","giofre2022decoding","10.1016/j.intell.2021.101615",TRUE
"publications_doi","cornoldi2022emotional","10.1177/00169862211042901",TRUE
"publications_doi","caviola2022math","10.1007/s10648-021-09618-5",TRUE
"publications_doi","carretti2022structure","10.1037/dev0001385",TRUE
"publications_doi","carretti2022inferring","10.1080/10888438.2021.1897596",TRUE
"publications_doi","carretti2022developmental","10.1111/jir.12904",TRUE
"publications_doi","toffalini2021dyslexia","10.3758/s13428-021-01549-x",TRUE
"publications_doi","sella2021self","10.1016/j.sleep.2021.02.017",TRUE
"publications_doi","sella2021relationship","10.1080/17437199.2021.1974309",TRUE
"publications_doi","miola2021environmental","10.1016/j.jenvp.2021.101704",TRUE
"publications_doi","meneghetti2021successful","10.1007/s00426-019-01270-7",TRUE
"publications_doi","meneghetti2021path","10.3389/fpsyg.2021.643702",TRUE
"publications_doi","meneghetti2021learning","10.1016/j.jenvp.2021.101614",TRUE
"publications_doi","mammarella2021evidence","10.1111/jcpp.13397",TRUE
"publications_doi","locatelli2021age","10.3390/brainsci11050655",TRUE
"publications_doi","grassi2021two","10.3758/s13428-020-01457-6",TRUE
"publications_doi","fontana2021meta","10.1016/j.ridd.2020.103838",TRUE
"publications_doi","doerr2021developmental","10.3390/brainsci11050610",TRUE
"publications_doi","cornoldi2021memory","10.1016/j.paid.2021.110638",TRUE
"publications_doi","cornoldi2021difficulties","10.1177/00222194211037061",TRUE
"publications_doi","bayramova2021auditory","10.1007/s00426-020-01437-7",TRUE
"publications_doi","toffalini2020false","10.1080/02699931.2020.1749034",TRUE
"publications_doi","toffalini2020eccezionalita","10.1421/100076",TRUE
"publications_doi","sella2020personality","10.1016/j.paid.2019.109770",TRUE
"publications_doi","mirandola2020power","10.1016/j.paid.2020.109861",TRUE
"publications_doi","meneghetti2020spatial","10.1016/j.cogdev.2019.100841",TRUE
"publications_doi","meneghetti2020path","10.3389/fnhum.2020.00107",TRUE
"publications_doi","marsura2020prova","10.1449/97008",TRUE
"publications_doi","giofre2020population","10.1016/j.intell.2020.101467",TRUE
"publications_doi","donolato2020going","10.1111/mbe.12251",TRUE
"publications_doi","delogu2020morra","10.3389/fpsyg.2020.551126",TRUE
"publications_doi","carretti2020text","10.1111/bjep.12307",TRUE
"publications_doi","altoe2020enhancing","10.3389/fpsyg.2019.02893",TRUE
"publications_doi","toffalini2019wisc","10.1449/95152",TRUE
"publications_doi","toffalini2019using","10.1111/jir.12589",TRUE
"publications_doi","toffalini2019reading","10.1002/dys.1603",TRUE
"publications_doi","toffalini2019inferential","10.1111/bjop.12371",TRUE
